cell_id,lat_idx,lon_idx,lat_center,lon_center,year,count
7_4,7,4,39.0,131.0,2017,1
7_4,7,4,39.0,131.0,2018,0
7_4,7,4,39.0,131.0,2019,0
7_4,7,4,39.0,131.0,2020,0
7_4,7,4,39.0,131.0,2021,0
7_4,7,4,39.0,131.0,2022,0
7_4,7,4,39.0,131.0,2023,0
7_5,7,5,39.0,133.0,2000,0
7_5,7,5,39.0,133.0,2001,0
7_5,7,5,39.0,133.0,2002,1
7_5,7,5,39.0,133.0,2003,1
7_5,7,5,39.0,133.0,2004,0
7_5,7,5,39.0,133.0,2005,0
7_5,7,5,39.0,133.0,2006,0
7_5,7,5,39.0,133.0,2007,3
7_5,7,5,39.0,133.0,2008,1
7_5,7,5,39.0,133.0,2009,0
7_5,7,5,39.0,133.0,2010,0
7_5,7,5,39.0,133.0,2011,2
7_5,7,5,39.0,133.0,2012,0
7_5,7,5,39.0,133.0,2013,0
7_5,7,5,39.0,133.0,2014,1
7_5,7,5,39.0,133.0,2015,1
7_5,7,5,39.0,133.0,2016,0
7_5,7,5,39.0,133.0,2017,2
7_5,7,5,39.0,133.0,2018,3
7_5,7,5,39.0,133.0,2019,1
7_5,7,5,39.0,133.0,2020,0
7_5,7,5,39.0,133.0,2021,1
7_5,7,5,39.0,133.0,2022,0
7_5,7,5,39.0,133.0,2023,0
7_6,7,6,39.0,135.0,2000,0
7_6,7,6,39.0,135.0,2001,0
7_6,7,6,39.0,135.0,2002,1
7_6,7,6,39.0,135.0,2003,0
7_6,7,6,39.0,135.0,2004,3
7_6,7,6,39.0,135.0,2005,0
7_6,7,6,39.0,135.0,2006,1
7_6,7,6,39.0,135.0,2007,0
7_6,7,6,39.0,135.0,2008,3
7_6,7,6,39.0,135.0,2009,0
7_6,7,6,39.0,135.0,2010,0
7_6,7,6,39.0,135.0,2011,0
7_6,7,6,39.0,135.0,2012,1
7_6,7,6,39.0,135.0,2013,1
7_6,7,6,39.0,135.0,2014,0
7_6,7,6,39.0,135.0,2015,3
7_6,7,6,39.0,135.0,2016,1
7_6,7,6,39.0,135.0,2017,1
7_6,7,6,39.0,135.0,2018,1
7_6,7,6,39.0,135.0,2019,2
7_6,7,6,39.0,135.0,2020,0
7_6,7,6,39.0,135.0,2021,1
7_6,7,6,39.0,135.0,2022,0
7_6,7,6,39.0,135.0,2023,0
7_7,7,7,39.0,137.0,2000,0
7_7,7,7,39.0,137.0,2001,0
7_7,7,7,39.0,137.0,2002,0
7_7,7,7,39.0,137.0,2003,1
7_7,7,7,39.0,137.0,2004,0
7_7,7,7,39.0,137.0,2005,0
7_7,7,7,39.0,137.0,2006,0
7_7,7,7,39.0,137.0,2007,0
7_7,7,7,39.0,137.0,2008,0
7_7,7,7,39.0,137.0,2009,0
7_7,7,7,39.0,137.0,2010,0
7_7,7,7,39.0,137.0,2011,0
7_7,7,7,39.0,137.0,2012,0
7_7,7,7,39.0,137.0,2013,0
7_7,7,7,39.0,137.0,2014,0
7_7,7,7,39.0,137.0,2015,0
7_7,7,7,39.0,137.0,2016,1
7_7,7,7,39.0,137.0,2017,0
7_7,7,7,39.0,137.0,2018,0
7_7,7,7,39.0,137.0,2019,0
7_7,7,7,39.0,137.0,2020,0
7_7,7,7,39.0,137.0,2021,0
7_7,7,7,39.0,137.0,2022,0
7_7,7,7,39.0,137.0,2023,0
7_8,7,8,39.0,139.0,2000,0
7_8,7,8,39.0,139.0,2001,0
7_8,7,8,39.0,139.0,2002,2
7_8,7,8,39.0,139.0,2003,1
7_8,7,8,39.0,139.0,2004,7
7_8,7,8,39.0,139.0,2005,1
7_8,7,8,39.0,139.0,2006,3
7_8,7,8,39.0,139.0,2007,0
7_8,7,8,39.0,139.0,2008,2
7_8,7,8,39.0,139.0,2009,2
7_8,7,8,39.0,139.0,2010,1
7_8,7,8,39.0,139.0,2011,5
7_8,7,8,39.0,139.0,2012,0
7_8,7,8,39.0,139.0,2013,2
7_8,7,8,39.0,139.0,2014,2
7_8,7,8,39.0,139.0,2015,2
7_8,7,8,39.0,139.0,2016,0
7_8,7,8,39.0,139.0,2017,0
7_8,7,8,39.0,139.0,2018,0
7_8,7,8,39.0,139.0,2019,6
7_8,7,8,39.0,139.0,2020,0
7_8,7,8,39.0,139.0,2021,1
7_8,7,8,39.0,139.0,2022,1
7_8,7,8,39.0,139.0,2023,1
7_9,7,9,39.0,141.0,2000,9
7_9,7,9,39.0,141.0,2001,8
7_9,7,9,39.0,141.0,2002,11
7_9,7,9,39.0,141.0,2003,56
7_9,7,9,39.0,141.0,2004,19
7_9,7,9,39.0,141.0,2005,29
7_9,7,9,39.0,141.0,2006,10
7_9,7,9,39.0,141.0,2007,19
7_9,7,9,39.0,141.0,2008,123
7_9,7,9,39.0,141.0,2009,6
7_9,7,9,39.0,141.0,2010,14
7_9,7,9,39.0,141.0,2011,164
7_9,7,9,39.0,141.0,2012,49
7_9,7,9,39.0,141.0,2013,30
7_9,7,9,39.0,141.0,2014,39
7_9,7,9,39.0,141.0,2015,44
7_9,7,9,39.0,141.0,2016,26
7_9,7,9,39.0,141.0,2017,20
7_9,7,9,39.0,141.0,2018,35
7_9,7,9,39.0,141.0,2019,28
7_9,7,9,39.0,141.0,2020,18
7_9,7,9,39.0,141.0,2021,34
7_9,7,9,39.0,141.0,2022,28
7_9,7,9,39.0,141.0,2023,21
8_0,8,0,41.0,123.0,2000,2
8_0,8,0,41.0,123.0,2001,0
8_0,8,0,41.0,123.0,2002,1
8_0,8,0,41.0,123.0,2003,0
8_0,8,0,41.0,123.0,2004,0
8_0,8,0,41.0,123.0,2005,0
8_0,8,0,41.0,123.0,2006,0
8_0,8,0,41.0,123.0,2007,0
8_0,8,0,41.0,123.0,2008,2
8_0,8,0,41.0,123.0,2009,1
8_0,8,0,41.0,123.0,2010,0
8_0,8,0,41.0,123.0,2011,0
8_0,8,0,41.0,123.0,2012,3
8_0,8,0,41.0,123.0,2013,1
8_0,8,0,41.0,123.0,2014,0
8_0,8,0,41.0,123.0,2015,1
8_0,8,0,41.0,123.0,2016,0
8_0,8,0,41.0,123.0,2017,1
8_0,8,0,41.0,123.0,2018,0
8_0,8,0,41.0,123.0,2019,0
8_0,8,0,41.0,123.0,2020,0
8_0,8,0,41.0,123.0,2021,0
8_0,8,0,41.0,123.0,2022,1
8_0,8,0,41.0,123.0,2023,0
8_10,8,10,41.0,143.0,2000,31
8_10,8,10,41.0,143.0,2001,11
8_10,8,10,41.0,143.0,2002,24
8_10,8,10,41.0,143.0,2003,45
8_10,8,10,41.0,143.0,2004,38
8_10,8,10,41.0,143.0,2005,33
8_10,8,10,41.0,143.0,2006,45
8_10,8,10,41.0,143.0,2007,33
8_10,8,10,41.0,143.0,2008,39
8_10,8,10,41.0,143.0,2009,23
8_10,8,10,41.0,143.0,2010,17
8_10,8,10,41.0,143.0,2011,116
8_10,8,10,41.0,143.0,2012,37
8_10,8,10,41.0,143.0,2013,33
8_10,8,10,41.0,143.0,2014,47
8_10,8,10,41.0,143.0,2015,44
8_10,8,10,41.0,143.0,2016,41
8_10,8,10,41.0,143.0,2017,47
8_10,8,10,41.0,143.0,2018,49
8_10,8,10,41.0,143.0,2019,37
8_10,8,10,41.0,143.0,2020,41
8_10,8,10,41.0,143.0,2021,54
8_10,8,10,41.0,143.0,2022,40
8_10,8,10,41.0,143.0,2023,49
8_11,8,11,41.0,145.0,2000,1
8_11,8,11,41.0,145.0,2001,3
8_11,8,11,41.0,145.0,2002,7
8_11,8,11,41.0,145.0,2003,75
8_11,8,11,41.0,145.0,2004,23
8_11,8,11,41.0,145.0,2005,0
8_11,8,11,41.0,145.0,2006,5
8_11,8,11,41.0,145.0,2007,4
8_11,8,11,41.0,145.0,2008,22
8_11,8,11,41.0,145.0,2009,8
8_11,8,11,41.0,145.0,2010,4
8_11,8,11,41.0,145.0,2011,11
8_11,8,11,41.0,145.0,2012,59
8_11,8,11,41.0,145.0,2013,5
8_11,8,11,41.0,145.0,2014,6
8_11,8,11,41.0,145.0,2015,9
8_11,8,11,41.0,145.0,2016,6
8_11,8,11,41.0,145.0,2017,6
8_11,8,11,41.0,145.0,2018,5
8_11,8,11,41.0,145.0,2019,2
8_11,8,11,41.0,145.0,2020,5
8_11,8,11,41.0,145.0,2021,6
8_11,8,11,41.0,145.0,2022,13
8_11,8,11,41.0,145.0,2023,9
8_12,8,12,41.0,147.0,2000,0
8_12,8,12,41.0,147.0,2001,0
8_12,8,12,41.0,147.0,2002,0
8_12,8,12,41.0,147.0,2003,0
8_12,8,12,41.0,147.0,2004,0
8_12,8,12,41.0,147.0,2005,0
8_12,8,12,41.0,147.0,2006,1
8_12,8,12,41.0,147.0,2007,0
8_12,8,12,41.0,147.0,2008,0
8_12,8,12,41.0,147.0,2009,0
8_12,8,12,41.0,147.0,2010,0
8_12,8,12,41.0,147.0,2011,0
8_12,8,12,41.0,147.0,2012,0
8_12,8,12,41.0,147.0,2013,0
8_12,8,12,41.0,147.0,2014,0
8_12,8,12,41.0,147.0,2015,0
8_12,8,12,41.0,147.0,2016,0
8_12,8,12,41.0,147.0,2017,0
8_12,8,12,41.0,147.0,2018,0
8_12,8,12,41.0,147.0,2019,1
8_12,8,12,41.0,147.0,2020,1
8_12,8,12,41.0,147.0,2021,0
8_12,8,12,41.0,147.0,2022,0
8_12,8,12,41.0,147.0,2023,0
8_13,8,13,41.0,149.0,2000,0
8_13,8,13,41.0,149.0,2001,0
8_13,8,13,41.0,149.0,2002,0
8_13,8,13,41.0,149.0,2003,0
8_13,8,13,41.0,149.0,2004,0
8_13,8,13,41.0,149.0,2005,0
8_13,8,13,41.0,149.0,2006,0
8_13,8,13,41.0,149.0,2007,0
8_13,8,13,41.0,149.0,2008,0
8_13,8,13,41.0,149.0,2009,0
8_13,8,13,41.0,149.0,2010,0
8_13,8,13,41.0,149.0,2011,0
8_13,8,13,41.0,149.0,2012,0
8_13,8,13,41.0,149.0,2013,0
8_13,8,13,41.0,149.0,2014,0
8_13,8,13,41.0,149.0,2015,0
8_13,8,13,41.0,149.0,2016,0
8_13,8,13,41.0,149.0,2017,0
8_13,8,13,41.0,149.0,2018,0
8_13,8,13,41.0,149.0,2019,0
8_13,8,13,41.0,149.0,2020,1
8_13,8,13,41.0,149.0,2021,0
8_13,8,13,41.0,149.0,2022,0
8_13,8,13,41.0,149.0,2023,0
8_2,8,2,41.0,127.0,2000,0
8_2,8,2,41.0,127.0,2001,0
8_2,8,2,41.0,127.0,2002,0
8_2,8,2,41.0,127.0,2003,0
8_2,8,2,41.0,127.0,2004,1
8_2,8,2,41.0,127.0,2005,0
8_2,8,2,41.0,127.0,2006,0
8_2,8,2,41.0,127.0,2007,0
8_2,8,2,41.0,127.0,2008,0
8_2,8,2,41.0,127.0,2009,0
8_2,8,2,41.0,127.0,2010,0
8_2,8,2,41.0,127.0,2011,0
8_2,8,2,41.0,127.0,2012,0
8_2,8,2,41.0,127.0,2013,0
8_2,8,2,41.0,127.0,2014,0
8_2,8,2,41.0,127.0,2015,0
8_2,8,2,41.0,127.0,2016,0
8_2,8,2,41.0,127.0,2017,0
8_2,8,2,41.0,127.0,2018,0
8_2,8,2,41.0,127.0,2019,0
8_2,8,2,41.0,127.0,2020,0
8_2,8,2,41.0,127.0,2021,0
8_2,8,2,41.0,127.0,2022,0
8_2,8,2,41.0,127.0,2023,0
8_3,8,3,41.0,129.0,2000,0
8_3,8,3,41.0,129.0,2001,0
8_3,8,3,41.0,129.0,2002,1
8_3,8,3,41.0,129.0,2003,0
8_3,8,3,41.0,129.0,2004,0
8_3,8,3,41.0,129.0,2005,0
8_3,8,3,41.0,129.0,2006,1
8_3,8,3,41.0,129.0,2007,0
8_3,8,3,41.0,129.0,2008,0
8_3,8,3,41.0,129.0,2009,1
8_3,8,3,41.0,129.0,2010,0
8_3,8,3,41.0,129.0,2011,0
8_3,8,3,41.0,129.0,2012,0
8_3,8,3,41.0,129.0,2013,1
8_3,8,3,41.0,129.0,2014,0
8_3,8,3,41.0,129.0,2015,0
8_3,8,3,41.0,129.0,2016,2
8_3,8,3,41.0,129.0,2017,2
8_3,8,3,41.0,129.0,2018,0
8_3,8,3,41.0,129.0,2019,0
8_3,8,3,41.0,129.0,2020,0
8_3,8,3,41.0,129.0,2021,0
8_3,8,3,41.0,129.0,2022,0
8_3,8,3,41.0,129.0,2023,0
8_4,8,4,41.0,131.0,2000,1
8_4,8,4,41.0,131.0,2001,0
8_4,8,4,41.0,131.0,2002,1
8_4,8,4,41.0,131.0,2003,0
8_4,8,4,41.0,131.0,2004,0
8_4,8,4,41.0,131.0,2005,0
8_4,8,4,41.0,131.0,2006,0
8_4,8,4,41.0,131.0,2007,2
8_4,8,4,41.0,131.0,2008,1
8_4,8,4,41.0,131.0,2009,0
8_4,8,4,41.0,131.0,2010,0
8_4,8,4,41.0,131.0,2011,0
8_4,8,4,41.0,131.0,2012,0
8_4,8,4,41.0,131.0,2013,0
8_4,8,4,41.0,131.0,2014,2
8_4,8,4,41.0,131.0,2015,0
8_4,8,4,41.0,131.0,2016,0
8_4,8,4,41.0,131.0,2017,1
8_4,8,4,41.0,131.0,2018,0
8_4,8,4,41.0,131.0,2019,0
8_4,8,4,41.0,131.0,2020,0
8_4,8,4,41.0,131.0,2021,1
8_4,8,4,41.0,131.0,2022,1
8_4,8,4,41.0,131.0,2023,1
8_5,8,5,41.0,133.0,2000,1
8_5,8,5,41.0,133.0,2001,0
8_5,8,5,41.0,133.0,2002,1
8_5,8,5,41.0,133.0,2003,0
8_5,8,5,41.0,133.0,2004,1
8_5,8,5,41.0,133.0,2005,0
8_5,8,5,41.0,133.0,2006,0
8_5,8,5,41.0,133.0,2007,0
8_5,8,5,41.0,133.0,2008,0
8_5,8,5,41.0,133.0,2009,0
8_5,8,5,41.0,133.0,2010,0
8_5,8,5,41.0,133.0,2011,0
8_5,8,5,41.0,133.0,2012,0
8_5,8,5,41.0,133.0,2013,1
8_5,8,5,41.0,133.0,2014,0
8_5,8,5,41.0,133.0,2015,0
8_5,8,5,41.0,133.0,2016,1
8_5,8,5,41.0,133.0,2017,2
8_5,8,5,41.0,133.0,2018,1
8_5,8,5,41.0,133.0,2019,1
8_5,8,5,41.0,133.0,2020,0
8_5,8,5,41.0,133.0,2021,2
8_5,8,5,41.0,133.0,2022,0
8_5,8,5,41.0,133.0,2023,0
8_6,8,6,41.0,135.0,2000,0
8_6,8,6,41.0,135.0,2001,0
8_6,8,6,41.0,135.0,2002,0
8_6,8,6,41.0,135.0,2003,1
8_6,8,6,41.0,135.0,2004,1
8_6,8,6,41.0,135.0,2005,0
8_6,8,6,41.0,135.0,2006,1
8_6,8,6,41.0,135.0,2007,0
8_6,8,6,41.0,135.0,2008,0
8_6,8,6,41.0,135.0,2009,0
8_6,8,6,41.0,135.0,2010,2
8_6,8,6,41.0,135.0,2011,0
8_6,8,6,41.0,135.0,2012,1
8_6,8,6,41.0,135.0,2013,0
8_6,8,6,41.0,135.0,2014,0
8_6,8,6,41.0,135.0,2015,1
8_6,8,6,41.0,135.0,2016,0
8_6,8,6,41.0,135.0,2017,1
8_6,8,6,41.0,135.0,2018,1
8_6,8,6,41.0,135.0,2019,0
8_6,8,6,41.0,135.0,2020,1
8_6,8,6,41.0,135.0,2021,0
8_6,8,6,41.0,135.0,2022,0
8_6,8,6,41.0,135.0,2023,1
8_7,8,7,41.0,137.0,2000,0
8_7,8,7,41.0,137.0,2001,0
8_7,8,7,41.0,137.0,2002,0
8_7,8,7,41.0,137.0,2003,0
8_7,8,7,41.0,137.0,2004,0
8_7,8,7,41.0,137.0,2005,1
8_7,8,7,41.0,137.0,2006,0
8_7,8,7,41.0,137.0,2007,0
8_7,8,7,41.0,137.0,2008,0
8_7,8,7,41.0,137.0,2009,0
8_7,8,7,41.0,137.0,2010,0
8_7,8,7,41.0,137.0,2011,0
8_7,8,7,41.0,137.0,2012,0
8_7,8,7,41.0,137.0,2013,1
8_7,8,7,41.0,137.0,2014,2
8_7,8,7,41.0,137.0,2015,0
8_7,8,7,41.0,137.0,2016,0
8_7,8,7,41.0,137.0,2017,1
8_7,8,7,41.0,137.0,2018,0
8_7,8,7,41.0,137.0,2019,0
8_7,8,7,41.0,137.0,2020,0
8_7,8,7,41.0,137.0,2021,1
8_7,8,7,41.0,137.0,2022,0
8_7,8,7,41.0,137.0,2023,0
8_8,8,8,41.0,139.0,2000,6
8_8,8,8,41.0,139.0,2001,0
8_8,8,8,41.0,139.0,2002,2
8_8,8,8,41.0,139.0,2003,3
8_8,8,8,41.0,139.0,2004,5
8_8,8,8,41.0,139.0,2005,9
8_8,8,8,41.0,139.0,2006,2
8_8,8,8,41.0,139.0,2007,7
8_8,8,8,41.0,139.0,2008,2
8_8,8,8,41.0,139.0,2009,2
8_8,8,8,41.0,139.0,2010,2
8_8,8,8,41.0,139.0,2011,3
8_8,8,8,41.0,139.0,2012,3
8_8,8,8,41.0,139.0,2013,2
8_8,8,8,41.0,139.0,2014,1
8_8,8,8,41.0,139.0,2015,0
8_8,8,8,41.0,139.0,2016,0
8_8,8,8,41.0,139.0,2017,1
8_8,8,8,41.0,139.0,2018,0
8_8,8,8,41.0,139.0,2019,1
8_8,8,8,41.0,139.0,2020,2
8_8,8,8,41.0,139.0,2021,0
8_8,8,8,41.0,139.0,2022,1
8_8,8,8,41.0,139.0,2023,3
8_9,8,9,41.0,141.0,2000,5
8_9,8,9,41.0,141.0,2001,7
8_9,8,9,41.0,141.0,2002,8
8_9,8,9,41.0,141.0,2003,10
8_9,8,9,41.0,141.0,2004,23
8_9,8,9,41.0,141.0,2005,6
8_9,8,9,41.0,141.0,2006,10
8_9,8,9,41.0,141.0,2007,10
8_9,8,9,41.0,141.0,2008,7
8_9,8,9,41.0,141.0,2009,7
8_9,8,9,41.0,141.0,2010,4
8_9,8,9,41.0,141.0,2011,10
8_9,8,9,41.0,141.0,2012,12
8_9,8,9,41.0,141.0,2013,6
8_9,8,9,41.0,141.0,2014,12
8_9,8,9,41.0,141.0,2015,17
8_9,8,9,41.0,141.0,2016,14
8_9,8,9,41.0,141.0,2017,11
8_9,8,9,41.0,141.0,2018,14
8_9,8,9,41.0,141.0,2019,12
8_9,8,9,41.0,141.0,2020,15
8_9,8,9,41.0,141.0,2021,14
8_9,8,9,41.0,141.0,2022,21
8_9,8,9,41.0,141.0,2023,14
9_0,9,0,43.0,123.0,2000,0
9_0,9,0,43.0,123.0,2001,0
